epoch,train_loss,train_accuracy,val_loss,val_accuracy
21,0.910765,0.758375,0.570398,0.927937
22,0.434058,0.860187,0.55906,0.93966
23,0.322304,0.890977,0.578113,0.945324
24,0.267104,0.907643,0.59556,0.949239
25,0.237242,0.917396,0.591972,0.949501
26,0.21918,0.920809,0.606059,0.949961
27,0.204379,0.925057,0.604074,0.950814
28,0.192398,0.928746,0.607966,0.950835
29,0.195289,0.928935,0.605078,0.951338
30,0.189007,0.930293,0.605802,0.951513
31,0.19116,0.929734,0.608014,0.951732
32,0.186399,0.931419,0.612691,0.951973
33,0.184395,0.932196,0.61225,0.951667
34,0.185815,0.931477,0.611527,0.951732
35,0.182951,0.933024,0.611861,0.951404
